Price,Close,High,Low,Open,Volume
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA
Date,,,,,
2010-12-28,8.923333168029785,8.953581966912887,8.835948283243434,8.896445881009637,444375
2010-12-29,9.00735855102539,9.07457757891025,8.923334365512305,8.923334365512305,470000
2010-12-30,9.22581958770752,9.22581958770752,9.024162512867942,9.024162512867942,952375
2011-01-03,9.00735855102539,9.37370249339208,8.926695076512344,9.259430306250623,1152875
2011-01-04,8.889724731445312,9.071215944019185,8.839310861869908,9.007358429311273,1208625
2011-01-05,9.040970802307129,9.077941038443093,8.822508494880383,8.869561668383293,1146250
2011-01-06,9.158602714538574,9.205656684107476,8.990555112690139,9.175407875380504,733625
2011-01-07,9.192206382751465,9.205650823391364,9.024158887889344,9.108183035977236,332750
2011-01-10,9.175403594970703,9.205652389586334,9.071213569510354,9.202290878197621,773500
2011-01-11,9.22581958770752,9.306483058694539,9.114908116414354,9.158600562760993,625125
2011-01-12,9.293038368225098,9.296399078700048,9.161961043935271,9.296399078700048,580000
2011-01-13,9.20565128326416,9.356893635538624,9.20565128326416,9.259426644569146,513375
2011-01-14,9.192206382751465,9.299757099988687,9.124987384806616,9.269508310519406,364125
2011-01-17,9.128350257873535,9.259427563821134,9.128350257873535,9.188847044526543,286625
2011-01-18,9.091379165649414,9.239261622996779,9.047686730703207,9.124988669353128,527250
2011-01-19,9.074576377868652,9.138434686301677,9.010718069435628,9.124990241452892,350500
2011-01-20,9.12498950958252,9.306481487345387,9.05777049598556,9.084658582212654,1017750
2011-01-21,9.158602714538574,9.225821755277948,9.10818883464113,9.209017395750191,368125
2011-01-24,9.131714820861816,9.209016792782103,9.108188238274876,9.168685050453563,220375
2011-01-26,8.963666915893555,9.276235504043713,8.953583980664767,9.175406953069924,884125
2011-01-27,8.856115341186523,9.071216070241714,8.839310984865564,8.973749040689311,592625
2011-01-28,8.607401847839355,8.970384140968113,8.607401847839355,8.862834217710642,605500
2011-01-31,8.671259880065918,8.829225267041188,8.604040873345545,8.70823089468176,580000
2011-02-01,8.973746299743652,9.40058691647823,8.7653670563387,8.778810697552037,1191
2011-02-02,8.772089958190918,8.973747815712917,8.755285604163866,8.973747815712917,433625
2011-02-03,8.671259880065918,8.839308198180621,8.671259880065918,8.772088390146479,471
2011-02-04,8.637653350830078,8.738481895628011,8.560351386353592,8.604043835897434,308625
2011-02-07,8.654457092285156,8.798978062969958,8.587238073423105,8.725036821696136,3136000
2011-02-08,8.651098251342773,8.99727718680614,8.651098251342773,8.68134705956382,951
2011-02-09,8.466243743896484,8.725036888361345,8.449438588395612,8.688066668098912,890125
2011-02-10,8.365412712097168,8.56706970989306,8.348607561624004,8.422548781341302,747125
2011-02-11,8.38558292388916,8.459524189044448,8.271310715178947,8.415831732540983,398000
2011-02-14,8.351970672607422,8.50993608748245,8.351970672607422,8.435994846505073,505375
2011-02-15,8.257865905761719,8.435996418353803,8.237700036163735,8.368777387236566,816250
2011-02-16,8.462879180908203,8.620844540672667,8.25786148612114,8.385577256364275,648000
